"wave"	"coef"
250	NA
251	NA
252	NA
253	NA
254	NA
255	NA
256	NA
257	NA
258	NA
259	NA
260	NA
261	NA
262	NA
263	NA
264	NA
265	NA
266	NA
267	NA
268	NA
269	NA
270	NA
271	NA
272	NA
273	NA
274	NA
275	NA
276	NA
277	NA
278	NA
279	NA
280	NA
281	NA
282	NA
283	NA
284	NA
285	NA
286	NA
287	NA
288	NA
289	NA
290	NA
291	NA
292	NA
293	NA
294	NA
295	NA
296	NA
297	NA
298	NA
299	NA
300	NA
301	NA
302	NA
303	NA
304	NA
305	NA
306	NA
307	NA
308	NA
309	NA
310	NA
311	NA
312	NA
313	NA
314	NA
315	NA
316	NA
317	NA
318	NA
319	2.02087202332795
320	2.03012309458492
321	2.0400854765628
322	2.01313926253153
323	1.97385922778842
324	1.93953665845533
325	1.91252871759571
326	1.89338692844669
327	1.87689519395075
328	1.86358509039739
329	1.85944705282051
330	1.85671427837641
331	1.85549427134729
332	1.85205257412596
333	1.84909232789084
334	1.8473658431812
335	1.83826608272921
336	1.82286291446645
337	1.80949296609144
338	1.79881161362239
339	1.79278778316143
340	1.78801787613453
341	1.78444924171225
342	1.7762433274049
343	1.76885963680722
344	1.76271670864217
345	1.7540079259411
346	1.74439741871822
347	1.73610227323321
348	1.72823408438649
349	1.71995392695772
350	1.71283157254041
351	1.70624976821826
352	1.68924583288956
353	1.6739985489126
354	1.66035257511702
355	1.64859321649338
356	1.63829842997445
357	1.62920538867466
358	1.61802771911618
359	1.60408423912536
360	1.5915735975875
361	1.57973024303138
362	1.56404229761646
363	1.54987198951052
364	1.5370795786009
365	1.52851269547857
366	1.52144523109988
367	1.51521509385957
368	1.50962192970291
369	1.50463873849898
370	1.50032893176828
371	1.49577055867535
372	1.48956318387177
373	1.48406905565195
374	1.47924292071342
375	1.47513032261905
376	1.4716053127178
377	1.46863050275656
378	1.46626979263286
379	1.46444493615139
380	1.46307864380735
381	1.4606424526661
382	1.45566493336689
383	1.45126286360639
384	1.44724221296717
385	1.44092804922937
386	1.43521936673938
387	1.43007044797588
388	1.42556384350392
389	1.42157255125514
390	1.41802260497895
391	1.41301980029096
392	1.40640638453669
393	1.40034104546796
394	1.39485378787406
395	1.39018119961203
396	1.38594468497567
397	1.38212044383565
398	1.3767610319786
399	1.37153808452402
400	1.36676044688418
401	1.36234067042764
402	1.35811049667549
403	1.35429890469004
404	1.35089544875929
405	1.34790308831053
406	1.34525582245833
407	1.34293418156045
408	1.3405211674341
409	1.33839508985847
410	1.33655704843489
411	1.33344505790571
412	1.32985935827841
413	1.32660295629216
414	1.32369185410055
415	1.32113376065166
416	1.31884855246892
417	1.31678107580748
418	1.31430654860685
419	1.31208777384581
420	1.31011147400028
421	1.30749909366947
422	1.30486461512672
423	1.30247507704703
424	1.30047044996613
425	1.29885750515544
426	1.29744192224632
427	1.29610109733325
428	1.29435116749848
429	1.29279319090633
430	1.29141751239243
431	1.28865250458813
432	1.28585103567072
433	1.283264699502
434	1.28098379674422
435	1.27897210400923
436	1.27713852483254
437	1.27551673409298
438	1.27417213404941
439	1.27297698241969
440	1.27192381891426
441	1.26954248967186
442	1.26727351992026
443	1.26517217651767
444	1.26340550789016
445	1.26187506047246
446	1.26048260917665
447	1.25932102537936
448	1.25845734785328
449	1.25770583627442
450	1.25702095244547
451	1.25585890205682
452	1.2548117487715
453	1.25387406983688
454	1.25285563197553
455	1.25188382844166
456	1.25101366635642
457	1.25044892332374
458	1.2502137759798
459	1.25005647805081
460	1.24986522215514
461	1.2491828397892
462	1.24858440562818
463	1.2480660886699
464	1.24809154496726
465	1.24825490139175
466	1.24847686718267
467	1.24835373028583
468	1.24798124724401
469	1.24767529421031
470	1.24731195466776
471	1.24667303789723
472	1.24610255801244
473	1.24559773510524
474	1.24508228175166
475	1.24462546540763
476	1.2442283212806
477	1.24403049588014
478	1.24395628665098
479	1.24392999394062
480	1.24361202622142
481	1.24275729836272
482	1.24196380991659
483	1.2412416750581
484	1.24075581520249
485	1.24032042418629
486	1.2399328507163
487	1.23947496202043
488	1.23902792175444
489	1.23862630407675
490	1.23819741629365
491	1.23773117173475
492	1.2373080211461
493	1.23693585557007
494	1.23665055461673
495	1.23640224339995
496	1.23618947979482
497	1.23566678504811
498	1.23513134047577
499	1.23463458387093
500	1.23330045695379
501	1.23137723278123
502	1.22952004627853
