"wave"	"coef"
250	NA
251	NA
252	NA
253	NA
254	NA
255	NA
256	NA
257	NA
258	NA
259	NA
260	NA
261	NA
262	NA
263	NA
264	NA
265	NA
266	NA
267	NA
268	NA
269	NA
270	NA
271	NA
272	NA
273	NA
274	NA
275	NA
276	NA
277	NA
278	NA
279	NA
280	NA
281	NA
282	NA
283	NA
284	NA
285	NA
286	NA
287	NA
288	NA
289	NA
290	NA
291	NA
292	NA
293	NA
294	NA
295	NA
296	NA
297	NA
298	NA
299	NA
300	NA
301	NA
302	NA
303	NA
304	NA
305	NA
306	NA
307	NA
308	NA
309	NA
310	NA
311	NA
312	NA
313	NA
314	NA
315	NA
316	NA
317	NA
318	1.31104810585737
319	1.31557212360608
320	1.32079941707835
321	1.31576332284304
322	1.29966919005636
323	1.28577149269193
324	1.27457431874088
325	1.26965878400602
326	1.26590834122794
327	1.26322909199009
328	1.27018913727013
329	1.27958521457406
330	1.28940392199403
331	1.29035369474169
332	1.28289202828696
333	1.27669418607756
334	1.27168460373504
335	1.26789850835237
336	1.26505397532851
337	1.26307385619464
338	1.26212897828656
339	1.26194335797346
340	1.262423049833
341	1.2610813034944
342	1.25840140363359
343	1.25647940305083
344	1.25500801642726
345	1.25335068893555
346	1.25234709646038
347	1.25194807811954
348	1.24993874965995
349	1.24833534473884
350	1.24732937992848
351	1.24482676664247
352	1.24166696906378
353	1.23916369366234
354	1.23723325829055
355	1.23576920624851
356	1.23485753368882
357	1.23446694664967
358	1.23148977522656
359	1.22896476087174
360	1.22702893030385
361	1.22388801549959
362	1.22025830663237
363	1.21724529629812
364	1.21519002702895
365	1.21448396612897
366	1.21421126757043
367	1.21434224666803
368	1.21332130923543
369	1.21270541667134
370	1.2124786261183
371	1.20960646386924
372	1.20584401700528
373	1.20260367278734
374	1.20065463934761
375	1.20054923630697
376	1.20078310314392
377	1.201294710551
378	1.20093780425169
379	1.20092204870983
380	1.20123244388983
381	1.20098809611856
382	1.20068748125066
383	1.20070117270406
384	1.2004955202021
385	1.19983422083759
386	1.19947379718893
387	1.19938819410812
388	1.1995139447134
389	1.19988468505921
390	1.20048481849922
391	1.19966115700999
392	1.19863480248905
393	1.19787509456257
394	1.19771821873855
395	1.19821081130122
396	1.19890763676086
397	1.19972213227135
398	1.20021601803355
399	1.20090799062713
400	1.20179042298028
401	1.20124148265942
402	1.20057339275439
403	1.20015549275063
404	1.19982408632763
405	1.19957152042736
406	1.1995396191456
407	1.19974848550691
408	1.20029398105686
409	1.20102173759785
410	1.20192218164265
411	1.2014257943376
412	1.20089089984059
413	1.20055596712819
414	1.20019772301586
415	1.19985269353828
416	1.19968955945985
417	1.19963065514319
418	1.19951288001403
419	1.19955905800894
420	1.19976133998299
421	1.19891737020975
422	1.19814210239492
423	1.1975382396625
424	1.19742468729003
425	1.19767149203912
426	1.19804983287541
427	1.19840751592791
428	1.19852472426512
429	1.19876933916764
430	1.19913522673661
431	1.19861940965201
432	1.19820873349787
433	1.19793038760906
434	1.19754068930851
435	1.19715351783833
436	1.1968901370887
437	1.19688497193585
438	1.19725767439195
439	1.19772790539974
440	1.19824875995033
441	1.19715554477614
442	1.1961935258932
443	1.1953562702207
444	1.19483817544362
445	1.19450929102634
446	1.19428218956257
447	1.1940113453038
448	1.19362440359223
449	1.19333481466154
450	1.19309556966483
451	1.19250489226753
452	1.19201131125827
453	1.19161025582487
454	1.19118077847428
455	1.19080370790601
456	1.19051100033128
457	1.19026105852741
458	1.19004405311336
459	1.18990269341377
460	1.18980845337774
461	1.18963258781655
462	1.18952694314345
463	1.18948829215809
464	1.18952041956567
465	1.18961491971967
466	1.18976819511708
467	1.19010499621461
468	1.19061046553539
469	1.19116247714928
470	1.19158671948521
471	1.1913966959181
472	1.19126415699221
473	1.19118676443476
474	1.19124455837102
475	1.19136062962978
476	1.19152356657618
477	1.19190399977235
478	1.19244674860104
479	1.19302485199791
480	1.1934424334161
481	1.19337864689199
482	1.19335896500049
483	1.193381850932
484	1.19339310697395
485	1.19344251281724
486	1.19352996590932
487	1.19379706015054
488	1.19417253993883
489	1.19457772262044
490	1.19462776817953
491	1.19397710719693
492	1.19337355706654
493	1.19280421733454
494	1.19193710323387
495	1.19111901341754
496	1.19034811244374
497	1.18988670792614
498	1.18956426962079
499	1.18927670593049
500	1.18905360499742
501	1.18888296709025
502	1.18874162641446
