"wave"	"coef"
250	NA
251	NA
252	NA
253	NA
254	NA
255	NA
256	NA
257	NA
258	NA
259	NA
260	NA
261	NA
262	NA
263	NA
264	NA
265	NA
266	NA
267	NA
268	NA
269	NA
270	NA
271	NA
272	NA
273	NA
274	NA
275	NA
276	NA
277	NA
278	NA
279	NA
280	NA
281	NA
282	NA
283	NA
284	NA
285	NA
286	NA
287	NA
288	NA
289	NA
290	NA
291	NA
292	NA
293	NA
294	NA
295	NA
296	NA
297	NA
298	NA
299	NA
300	NA
301	NA
302	NA
303	NA
304	NA
305	NA
306	NA
307	NA
308	NA
309	NA
310	NA
311	NA
312	NA
313	NA
314	NA
315	NA
316	NA
317	NA
318	1.18944055127534
319	1.20106509127594
320	1.21306387607114
321	1.22046245975037
322	1.21644066561568
323	1.21351935046531
324	1.21160989244142
325	1.24061767099428
326	1.27089411916068
327	1.3016741189562
328	1.31095996867972
329	1.31017614727631
330	1.31027454815115
331	1.3118785110348
332	1.31513222766069
333	1.31901713276207
334	1.32329848436718
335	1.32477564702982
336	1.32692595376154
337	1.32970305487998
338	1.33054324125531
339	1.3312085626402
340	1.33253130175013
341	1.33376524403433
342	1.33467533433346
343	1.33618743487309
344	1.33788600833896
345	1.33766879372317
346	1.33806753059034
347	1.33903794552549
348	1.34211454915143
349	1.34595794011917
350	1.35019219814352
351	1.35064389660225
352	1.34796856216205
353	1.34596417088625
354	1.34451111088789
355	1.34335483480642
356	1.34277737541495
357	1.342746755888
358	1.34265405303107
359	1.34301237252118
360	1.34386473274922
361	1.34208350415757
362	1.33863728927042
363	1.33583845710798
364	1.33299403894971
365	1.32909926869504
366	1.32583416189109
367	1.32315212235875
368	1.32052263235802
369	1.31840349161106
370	1.31677401544244
371	1.3138368559334
372	1.31057405940095
373	1.30783622810277
374	1.30530831948415
375	1.30274118783587
376	1.30065002925285
377	1.29897107735133
378	1.29679331577719
379	1.29506104492132
380	1.29375183984808
381	1.2921938396622
382	1.29075200730488
383	1.28969402679688
384	1.28824342334234
385	1.28614395775026
386	1.28442521005674
387	1.2831580816595
388	1.28299404488177
389	1.28310308642435
390	1.28346775118321
391	1.28313534841791
392	1.28285546934019
393	1.28283008745132
394	1.28226213909875
395	1.28115330022524
396	1.28032133361962
397	1.2798079694993
398	1.2797857146421
399	1.27999302146527
400	1.28042057604974
401	1.28015993942903
402	1.28001811993873
403	1.28012330992407
404	1.28019346245931
405	1.28028541531629
406	1.28060094268637
407	1.28104501398552
408	1.28144510777857
409	1.2820453836931
410	1.2828352821806
411	1.28141497312966
412	1.28009382195933
413	1.27901150670099
414	1.27857773967994
415	1.27858774808636
416	1.27877975264195
417	1.27892990946052
418	1.2788019664407
419	1.27884888692589
420	1.27904617554127
421	1.27790945977577
422	1.27696967329495
423	1.27621621036589
424	1.27599183096039
425	1.27607297530393
426	1.27629942076458
427	1.27634118378649
428	1.27602684623725
429	1.27586070595173
430	1.27572354666528
431	1.27446763979351
432	1.27337915527528
433	1.27245076717354
434	1.27166875228968
435	1.27103019757111
436	1.27052957888522
437	1.26995409872143
438	1.26927111453839
439	1.26872054494302
440	1.2680864414368
441	1.26642235399585
442	1.2649123989677
443	1.26354896837312
444	1.26180644624635
445	1.26011699401935
446	1.25857302298662
447	1.25726729811787
448	1.25617726947927
449	1.25520818661229
450	1.2540821790255
451	1.25217785812912
452	1.25041176208322
453	1.24877733147049
454	1.24698881860288
455	1.24530215100957
456	1.2437385355596
457	1.24234668085748
458	1.24110048472019
459	1.23995924179474
460	1.23892599639315
461	1.23800622195479
462	1.23717759646162
463	1.23643598876973
464	1.23564196324427
465	1.23492899651084
466	1.23429584446597
467	1.23346115585212
468	1.23257532466884
469	1.23176917412178
470	1.23103585408406
471	1.23037003856964
472	1.22977425589775
473	1.22921204884772
474	1.22819632322032
475	1.22725481220864
476	1.22638503809115
477	1.22549695764487
478	1.22464828412883
479	1.22386526801855
480	1.22312600022414
481	1.22242357275505
482	1.22177985431701
483	1.2211584171713
484	1.22037534709141
485	1.2196500270978
486	1.21897956142874
487	1.21823100948338
488	1.21750898891152
489	1.21683899819891
490	1.21568217462055
491	1.21409637047454
492	1.21257914384342
493	1.21110047142656
494	1.20958558491059
495	1.2081345861058
496	1.20674510015402
497	1.20539411712562
498	1.20409834300489
499	1.20285782345368
500	1.2019274742105
501	1.20119017187308
502	1.20049324178815
